Date,SPY,GLD,ETH,BTC
2021-04-12,407.552979,162.279999,2137.9173214689677,59858.18051224441
2021-04-13,408.760834,163.429993,2299.159481633633,63575.218791506995
2021-04-14,407.364868,162.720001,2432.2976643251395,62957.63579892283
2021-04-15,411.740967,165.350006,2514.944025676291,63175.71670824448
2021-04-16,413.117188,166.350006,2423.8814307475436,61360.46697587511
2021-04-19,411.087494,165.889999,2161.7560791382134,55647.9126646612
2021-04-20,408.077728,166.479996,2330.8563420202872,56449.34666047813
2021-04-21,411.938995,168.130005,2357.0864903588736,53796.99797465102
2021-04-22,408.176697,167.039993,2399.2315935526362,51705.241861645234
2021-04-23,412.602325,166.399994,2367.373831319275,51129.68747688168
2021-04-26,413.463684,166.839996,2533.7291071623868,54023.82042953548
2021-04-27,413.374603,166.419998,2666.557080661074,55028.866548827355
2021-04-28,413.255768,166.910004,2749.219968064651,54855.54786406057
2021-04-29,415.889374,166.220001,2757.7225190226673,53561.797699797775
2021-04-30,413.156769,165.660004,2773.345340238795,57714.14196103047
2021-05-03,414.047852,167.809998,3434.390496351393,57179.684268826495
2021-05-04,411.493439,166.580002,3239.8262614758382,53278.55559280023
2021-05-05,411.622192,167.270004,3526.429795413344,57468.68145366238
2021-05-06,414.90921,170.059998,3490.880214875295,56411.841258390734
2021-05-07,417.928925,171.589996,3481.3959759751215,57336.671500723234
2021-05-10,413.790436,172.110001,3949.068885957844,55939.29377167861
2021-05-11,410.097443,172.139999,4171.850052516182,56744.02944709326
2021-05-12,401.384827,170.429993,4047.2117542489837,51991.92775320243
2021-05-13,406.206451,171.130005,3711.9545342800097,49695.53638727978
2021-05-14,412.443939,172.690002,4077.42673267074,49864.14320046397
2021-05-17,411.39444,174.699997,3280.9574435006343,43533.944772835996
2021-05-18,407.850006,175.039993,3375.769534908347,42856.466321728876
2021-05-19,406.780701,175.160004,2453.9483083697423,36642.15199406302
2021-05-20,411.15683,175.960007,2772.383063828166,40549.98276617118
2021-05-21,410.82019,176.039993,2433.71762208897,37290.52945692166
2021-05-24,415.008209,176.350006,2649.3838044691306,38818.39710286014
2021-05-25,414.087433,177.949997,2705.817703051145,38337.90493279062
2021-05-26,414.90921,177.639999,2885.207438837592,39256.766845674305
2021-05-27,415.127014,177.710007,2742.7488653646383,38535.17476112198
2021-05-28,415.869568,178.380005,2412.488609716989,35670.80111472922
2021-06-01,415.503265,177.899994,2634.4557522645077,36690.36828145291
2021-06-02,416.156677,178.770004,2706.2328870785927,37571.54193727457
2021-06-03,414.612183,175.270004,2856.9868841741622,39244.7475307311
2021-06-04,418.404175,177.160004,2689.6171056904423,36835.96912202924
2021-06-07,417.99823,177.869995,2591.1804140401423,33559.1169283855
2021-06-08,418.087341,177.320007,2507.7413727175676,33389.228903777795
2021-06-09,417.463593,176.979996,2610.222481468209,37387.1578476787
2021-06-10,419.404114,177.740005,2471.1534709095554,36676.84818674608
2021-06-11,420.097168,175.740005,2354.5106951549797,37333.368728838854
2021-06-14,421.03772,174.710007,2581.229964037654,40520.25476942297
2021-06-15,420.265503,174.050003,2543.516062215318,40148.489454874645
2021-06-16,417.919006,171.110001,2367.87986035165,38348.378018246294
2021-06-17,417.780396,165.850006,2373.243402044947,38092.21598801389
2021-06-18,412.144379,164.929993,2234.1492051160335,35825.08252975739
2021-06-21,418.044647,166.949997,1887.5563176153387,31633.148691218168
2021-06-22,420.279572,166.25,1880.3961280190613,32523.818684524384
2021-06-23,419.77301,166.139999,1968.4987959528737,33679.632868467335
2021-06-24,422.256256,166.039993,1989.2118780822498,34662.1918547923
2021-06-25,423.756165,166.589996,1809.1119369561507,31586.249309102488
2021-06-28,424.610413,166.580002,2084.3047626093157,34494.48984562909
2021-06-29,424.838867,164.830002,2160.9914533832994,35865.32172784102
2021-06-30,425.196472,165.630005,2275.9415796055628,35047.96562461829
2021-07-01,427.550629,166.199997,2111.680251749384,33555.15764890521
2021-07-02,430.818634,167.289993,2154.674327678767,33792.34447681478
2021-07-06,430.033875,168.119995,2322.7317903003254,34225.091267689546
2021-07-07,431.553619,168.759995,2316.616876483454,33866.45663437072
2021-07-08,428.037354,168.649994,2115.5983481691496,32873.12359373414
2021-07-09,432.606567,169.210007,2146.3437291086825,33812.079883461156
2021-07-12,434.156097,169.0,2031.4123008359543,33087.09258584392
2021-07-13,432.676117,169.220001,1940.450819917378,32730.026559717564
2021-07-14,433.321747,171.039993,1994.4879709354545,32819.5908886572
2021-07-15,431.841705,171.070007,1919.1046127041552,31877.53628555836
2021-07-16,428.454529,169.410004,1876.7860898829608,31388.73920394233
2021-07-19,422.127136,169.610001,1818.6946763643825,30841.410794430878
2021-07-20,428.176392,169.389999,1786.3249230295964,29793.29542134372
2021-07-21,431.643036,168.759995,1995.5305043238088,32143.155562259308
2021-07-22,432.546967,169.089996,2024.6171840848128,32290.634065929466
2021-07-23,436.997009,168.559998,2124.5045502838634,33637.13002432607
2021-07-26,438.069763,168.160004,2228.239882205708,37252.492566943176
2021-07-27,436.073242,168.440002,2300.1020203432286,39466.32670700258
2021-07-28,435.894409,169.289993,2300.6193076846234,40022.237595069964
2021-07-29,437.70224,171.169998,2383.0438693041824,40021.289821454964
2021-07-30,435.576569,169.820007,2465.3828682695,42225.297588715825
2021-08-02,434.66272,169.610001,2607.3056411934863,39148.56547545364
2021-08-03,438.198914,169.490005,2508.8196113267013,38203.42935533491
2021-08-04,436.043427,169.529999,2724.865201783105,39723.92404102588
2021-08-05,438.80484,168.860001,2827.7096081764294,40871.15332931218
2021-08-06,439.529938,164.639999,2891.974620170682,42843.232641125054
2021-08-09,439.172363,161.720001,3161.338093515166,46264.50961833606
2021-08-10,439.718658,161.770004,3141.6593117882285,45589.95551371725
2021-08-11,440.81131,164.0,3161.38659899195,45521.93461815346
2021-08-12,442.132416,164.039993,3046.421853183486,44405.72705394554
2021-08-13,442.936981,166.389999,3323.382757092773,47816.59207029015
2021-08-16,443.97998,167.220001,3146.6379884763996,45905.74758558119
2021-08-17,441.06955,166.970001,3011.7056501932802,44691.50686132896
2021-08-18,436.242065,167.100006,3014.4727495758816,44707.70139170545
2021-08-19,436.917511,166.610001,3184.290633872997,46762.51910332825
2021-08-20,440.394104,166.699997,3285.42618355739,49329.178552852754
2021-08-23,444.268036,168.729996,3321.9064476435074,49495.887221265424
2021-08-24,444.973297,168.649994,3171.109433484997,47679.20049110533
2021-08-25,445.907013,167.479996,3227.4200944776503,48978.21990204546
2021-08-26,443.274719,167.669998,3093.0835775980177,46839.59413090861
2021-08-27,447.238037,170.190002,3273.960655522567,49072.46293461707
2021-08-30,449.204773,169.350006,3228.666653478764,46994.87296607928
2021-08-31,448.539246,169.690002,3429.6615273698126,47108.31197570323
2021-09-01,448.777649,169.699997,3827.57434012445,48814.96043136548
2021-09-02,450.158356,169.25,3786.4917078079,49254.953182774254
2021-09-03,450.049103,171.059998,3938.6409907718585,50004.739293373765
2021-09-07,448.439941,167.710007,3434.7002785851405,46866.83728529764
2021-09-08,447.893616,167.289993,3499.5483084854336,46054.06056129425
2021-09-09,445.976532,168.029999,3424.838059853593,46395.34915195861
2021-09-10,442.460205,167.179993,3209.1572400250943,44851.240483120506
2021-09-13,443.59259,167.740005,3285.6604634620953,44945.17212804425
2021-09-14,441.19873,168.820007,3434.976524621427,47117.46973955154
2021-09-15,444.883881,167.830002,3614.125598128728,48128.11378349103
2021-09-16,444.17865,164.029999,3568.3337834557574,47745.04120230817
2021-09-17,439.851868,163.770004,3399.8430615872157,47299.50364900263
2021-09-20,432.5177,164.940002,2977.642956890818,43015.666238819955
2021-09-21,432.109131,166.039993,2765.6602099589077,40732.26513395867
2021-09-22,436.32428,165.419998,3077.409537500026,43554.2544102696
2021-09-23,441.62561,163.509995,3153.0819527966974,44873.06812271206
2021-09-24,442.353058,163.300003,2929.1989779638448,42823.68543482799
2021-09-27,441.087524,163.639999,2925.9926267278342,42155.3390981136
